song_name,genre,duration,chunk_size_seconds,chunk_overlap_seconds,num_beams,temperature,max_new_tokens,length_penalty,repetition_penalty,no_repeat_ngram_size,do_sample,early_stopping,wer,cer,bleu_score,per,semantic_similarity,composite_score,summary,timestamp
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,0.75,3,True,False,0.841699,0.757039,2.111810,0.778947,0.651232,30.219966,weak word match; phonetics drifted; semantic match fair; overall score weak,2026-04-20T17:54:47.814249+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,0.75,2,True,True,0.845560,0.753017,3.890986,0.773684,0.437922,28.301446,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:54:50.262418+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,0.75,2,True,False,0.888031,0.731295,5.183425,0.800000,0.478576,26.910067,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:54:54.292553+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,0.75,2,False,True,0.853282,0.789220,2.000096,0.814474,0.498827,27.069373,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:54:56.138940+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,0.75,2,False,False,0.853282,0.789220,2.000096,0.814474,0.498827,27.069373,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:54:57.984449+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,0.75,3,True,True,0.864865,0.810137,0.916484,0.822368,0.514690,26.307704,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:54:59.955786+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,0.75,3,False,True,0.868726,0.847949,0.291932,0.853947,0.507485,24.870470,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:55:01.442459+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,0.75,3,False,False,0.868726,0.847949,0.291932,0.853947,0.507485,24.870470,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:55:02.919171+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,0.5,2,True,True,0.996139,0.942880,0.000000,0.953947,0.096690,12.824553,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:55:04.043912+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,0.5,2,True,False,0.996139,0.935640,0.000002,0.948684,0.209462,14.156258,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:55:05.296534+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,0.5,2,False,True,1.000000,0.948512,0.000000,0.961842,0.142851,12.897337,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:55:06.244308+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,0.5,2,False,False,1.000000,0.948512,0.000000,0.961842,0.142851,12.897337,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:55:07.194969+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,0.5,3,True,True,1.000000,0.975060,0.000000,0.992105,0.177002,12.216782,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:55:07.998742+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,0.5,3,True,False,1.000000,0.967820,0.000000,0.984211,0.175064,12.467181,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:55:08.929474+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,0.5,3,False,True,1.000000,0.980692,0.000000,1.000000,0.214581,12.338895,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:55:09.809638+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,0.5,3,False,False,1.000000,0.980692,0.000000,1.000000,0.214581,12.338895,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:55:10.690786+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,1.0,2,True,True,1.660232,1.262269,7.281677,1.400000,0.432994,15.058112,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:55:20.989717+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,1.0,2,True,False,1.100386,0.814964,9.608592,0.950000,0.376466,17.825883,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:55:28.026528+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,1.0,2,False,True,1.096525,0.787611,9.732218,0.931579,0.279954,17.607179,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:55:34.009004+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,1.0,2,False,False,1.096525,0.787611,9.732218,0.931579,0.279954,17.607179,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:55:39.982454+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,1.0,3,True,True,0.845560,0.668544,8.869929,0.723684,0.600170,32.516554,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:55:42.618782+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,1.0,3,True,False,0.837838,0.690265,9.839817,0.744737,0.444247,30.581051,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:55:45.912827+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,1.0,3,False,True,0.818533,0.697506,8.704132,0.732895,0.511278,32.037116,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:55:48.356912+00:00
edm,edm,120.0,16.0,0.5,1,0.75,256,0.75,1.0,3,False,False,0.818533,0.697506,8.704132,0.732895,0.511278,32.037116,weak word match; phonetics drifted; semantic match low; overall score weak,2026-04-20T17:55:50.797820+00:00
